S/N	LINE ITEM	Unit	Tier 4 	Tier 3 	Tier 2	Tier 1 	Tier 0
36	AMLODIPINE-10  + VARSATAN-160 + HCT-25  TABLET - 195MG(EXFORGE HCT)	Tab/190	 1,293.60 	 1,478.40 	 1,755.60 	 2,032.80 	 2,772.00 
37	AMLODIPINE-10  + VARSATAN-160 TABLET - 170MG(EXFORGE)	Tab/170	 1,293.60 	 1,478.40 	 1,755.60 	 2,032.80 	 2,772.00 
38	AMLODIPINE-10mg + VARSATAN 60mg TABLET - (EXFORGE)	Tab/70mg	 1,293.60 	 1,478.40 	 1,755.60 	 2,032.80 	 2,772.00 
39	AMLODIPINE-5  + VARSATAN-160 TABLET - 165MG(EXFORGE)	Tab/165mg	 1,293.60 	 1,478.40 	 1,755.60 	 2,032.80 	 2,772.00 
40	AMOXICILLIN + CLAVULANIC ACID CAPLET - 1000MG	Tab/1000mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
41	AMOXICILLIN + CLAVULANIC ACID INJECTION – 1200mg	Vial/1200mg	 3,528.00 	 4,032.00 	 4,788.00 	 5,544.00 	 7,560.00 
42	AMOXICILLIN + CLAVULANIC ACID INJECTION - 1200MG (AUGMENTIN)	Vial/1200mg	 5,880.00 	 6,720.00 	 7,980.00 	 9,240.00 	 12,600.00 
43	AMOXICILLIN + CLAVULANIC ACID SUSPENSION - 228MG/5ML	Blt/60ml	 2,940.00 	 3,360.00 	 3,990.00 	 4,620.00 	 6,300.00 
44	AMOXICILLIN + CLAVULANIC ACID SUSPENSION - 312.5MG/5ML	312.5MG/5ML	 7,056.00 	 8,064.00 	 9,576.00 	 11,088.00 	 15,120.00 
45	AMOXICILLIN + CLAVULANIC ACID SYR  - 228MG/5ML(AUGMENTIN)	 Blt/60mL	 7,056.00 	 8,064.00 	 9,576.00 	 11,088.00 	 15,120.00 
46	AMOXICILLIN + CLAVULANIC ACID TABLET – 375MG	Tab/375mg	 499.80 	 571.20 	 678.30 	 785.40 	 1,071.00 
47	AMOXICILLIN + CLAVULANIC ACID TABLET – 375MG (AUGMENTIN) 	TAB/375mg	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
48	AMOXICILLIN + CLAVULANIC ACID TABLET – 625MG	 Tab/625mg	 441.00 	 504.00 	 598.50 	 693.00 	 945.00 
49	AMOXICILLIN + CLAVULANIC ACID TABLET – 625MG (AUGMENTIN)	 TAB/625mg	 705.60 	 806.40 	 957.60 	 1,108.80 	 1,512.00 
50	AMOXICILLIN + CLAVULANIC SUSPENSION - 457MG/5ML(AUGMENTIN)	457MG/5ML	 7,644.00 	 8,736.00 	 10,374.00 	 12,012.00 	 16,380.00 
51	AMOXICILLIN CAPSULE - 250MG 	CAP/250mg	 58.80 	 67.20 	 79.80 	 92.40 	 126.00 
52	AMOXICILLIN CAPSULE - 500MG	CAP/250mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
53	AMOXICILLIN INJECTION - 500MG	 Vial/500mg	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
54	AMOXILLIN SUSPENSION - 125MG/5ML 	Blt/60ml	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
55	AMOXILLIN SUSPENSION - 125MG/5ML(AMOXIL BECHAM)	Blt/60ml	 3,528.00 	 4,032.00 	 4,788.00 	 5,544.00 	 7,560.00 
56	AMPHOTERICIN  INJECTION	Per Vial	 8,526.00 	 9,744.00 	 11,571.00 	 13,398.00 	 18,270.00 
57	AMPICILLIN  + SULBACTAM  TAB (UNASYN)	tab /375	 282.24 	 322.56 	 383.04 	 443.52 	 604.80 
58	AMPICILLIN + CLOXACILLIN  DROP - 90mg/drop(REICHCLOX)	Tube/8ml	 2,352.00 	 2,688.00 	 3,192.00 	 3,696.00 	 5,040.00 
59	AMPICILLIN + CLOXACILLIN CAPSULE - 500MG	Cap/500mg	 58.80 	 67.20 	 79.80 	 92.40 	 126.00 
60	AMPICILLIN + CLOXACILLIN CAPSULE - 500MG (AMPICLOX BECHAM)	Cap/500mg	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
61	AMPICILLIN + CLOXACILLIN INJECTION - 500MG	Vial/500mg	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
62	AMPICILLIN + CLOXACILLIN INJECTION - 500MG (BEECHAM)	Vial/500mg	 2,352.00 	 2,688.00 	 3,192.00 	 3,696.00 	 5,040.00 
63	AMPICILLIN + CLOXACILLIN ORAL DROP - 90mg/Drop	Tube/8ml	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
64	AMPICILLIN + CLOXACILLIN ORAL DROP - 90mg/Drop(BEECHAM)	 Tube/8ml	 2,940.00 	 3,360.00 	 3,990.00 	 4,620.00 	 6,300.00 
65	AMPICILLIN + CLOXACILLIN SYRUP - 125MG/5ML 	Blt/100ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
66	AMPICILLIN + CLOXACILLIN SYRUP - 125MG/5ML(BECHAM) 	Blt/100ml	 5,880.00 	 6,720.00 	 7,980.00 	 9,240.00 	 12,600.00 
67	AMPICILLIN + SULTBACTAM INJECTION - 1.5G(UNASYN)	Vial/1000mg	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
68	AMPICILLIN CAPSULE - 250MG	Cap/250mg	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
69	AMPICILLIN CAPSULE - 250MG (BEECHAM)	Cap/250mg	 76.44 	 87.36 	 103.74 	 120.12 	 163.80 
70	AMPICILLIN CAPSULE - 500MG	Cap/500mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
71	AMPICILLIN INJECTION - 500MG	Vial/500mg	 264.60 	 302.40 	 359.10 	 415.80 	 567.00 
72	AMPICILLIN SYRUP - 125MG/5ML	Blt/60ml	 441.00 	 504.00 	 598.50 	 693.00 	 945.00 
73	ANASTROZOLE - 1MG	Tab/1mg	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
74	ANKLE BRACE	PCS	 14,700.00 	 16,800.00 	 19,950.00 	 23,100.00 	 31,500.00 
75	ANNUSOL SUPPOSITORY	Supp/1	 705.60 	 806.40 	 957.60 	 1,108.80 	 1,512.00 
76	ANTACID (MMT) TABLET - (GELUSIL) 	Tab/1	 29.40 	 33.60 	 39.90 	 46.20 	 63.00 
77	ANTACID SUSPENSION - 100MLS (GESTID SMALL) 	blt/100ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
78	ANTACID SUSPENSION – 200MLS (GESTID BIG )	Blt/100ml	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
79	ANTACID SUSPENSION- (GAVISCON)	Blt/100ml	 8,232.00 	 9,408.00 	 11,172.00 	 12,936.00 	 17,640.00 
80	ANTACID SUSPENSION(MMT) - 200ML(MAGSIL)	Blt/200ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
81	ANTEPSIN TABLET - 1000MG	Tab/1000mg	 79.38 	 90.72 	 107.73 	 124.74 	 170.10 
82	ANTIRABIES  VACCINE	Vial/1	 14,700.00 	 16,800.00 	 19,950.00 	 23,100.00 	 31,500.00 
83	ANTI-RETROVIRAL (LAM+STARV+NEU.) TABLET - 	Tab/1	 161.70 	 184.80 	 219.45 	 254.10 	 346.50 
84	ANTISIN PROVIN EYE DROP	Tube/10ml	 1,029.00 	 1,176.00 	 1,396.50 	 1,617.00 	 2,205.00 
85	AREETHER (@-B)INJECTION - 150Mg (E-MAL)	Amp/150mg	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
86	AREETHER (@-B)INJECTION - 75MG(E-MAL CHILD)	Vial/1	 1,264.20 	 1,444.80 	 1,715.70 	 1,986.60 	 2,709.00 
87	ARM SLING	PCS	 9,996.00 	 11,424.00 	 13,566.00 	 15,708.00 	 21,420.00 
88	ARTEMETER + LUMEFANTRINE CAPSULE -  80/480MG (AMATEM SOFT GEL)	TAB/560MG	 441.00 	 504.00 	 598.50 	 693.00 	 945.00 
89	ARTEMETER + LUMEFANTRINE SYRUP - 15MG/5ML	15MG/5ML	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
90	ARTEMETER + LUMEFANTRINE SYRUP - 15MG/5ML(LONART)	Blt/80ml	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
91	ARTEMETER + LUMEFANTRINE TABLET -  80/480MG (LONART DS)	Tab/1	 617.40 	 705.60 	 837.90 	 970.20 	 1,323.00 
92	ARTEMETER + LUMEFANTRINE TABLET - 20/120MG	TAB/140	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
93	ARTEMETER + LUMEFANTRINE TABLET - 20/120MG (COARTEM)	Tab/1	 220.50 	 252.00 	 299.25 	 346.50 	 472.50 
94	ARTEMETER + LUMEFANTRINE TABLET - 80/480MG	Tab/1	 382.20 	 436.80 	 518.70 	 600.60 	 819.00 
95	ARTEMETER + PIPERAQUINE PHOSPHATE SUSPENSION - 10MG/5ML(P-ALAXIN)	Per Tab	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
96	ARTEMETER + PIPERAQUINE PHOSPHATE TABLET	Per Tab	 235.20 	 268.80 	 319.20 	 369.60 	 504.00 
97	ARTEMETER + PIPERAQUINE PHOSPHATE TABLET - (P-ALAXIN)	Per Tab	 382.20 	 436.80 	 518.70 	 600.60 	 819.00 
98	ARTEMETER INJECTION - 80MG	Amp/80mg	 499.80 	 571.20 	 678.30 	 785.40 	 1,071.00 
99	ARTEMETER INJECTION - 80MG/2ML (PALUTHER)	Amp/80mg	 735.00 	 840.00 	 997.50 	 1,155.00 	 1,575.00 
100	ARTEMETER SYRUP - (ARTESUNATE)	Blt/80ml	 1,029.00 	 1,176.00 	 1,396.50 	 1,617.00 	 2,205.00 
101	ARTEMETER TABLET - (ARTHESUNATE)50mg	Tab/50mg	 108.78 	 124.32 	 147.63 	 170.94 	 233.10 
102	ARTEMETER+PIPERAQUINE PHOSPHATE SUPPOSITORY (ALAXIN)	S UPP/1	 141.12 	 161.28 	 191.52 	 221.76 	 302.40 
103	ARTEMETER-100 + AMODIAQUINE-270 TAB. - (ARTEPLUS COMBI)	Tab/370Mg	 367.50 	 420.00 	 498.75 	 577.50 	 787.50 
104	ARTEMETER-100 + AMODIAQUINE-300 TABLET - (7YRS AND ABOVE)	Tab/400mg	 379.26 	 433.44 	 514.71 	 595.98 	 812.70 
105	ARTEMETER-25 + AMODIAQUINE- 75 SATCHET - (BELOW 1 YEAR) 	Tab/100mg	 379.26 	 433.44 	 514.71 	 595.98 	 812.70 
106	ARTEMETER-50 + AMODIAQUINE-150 SATCHET - (1 - 6 YEARS)	Tab/200mg	 379.26 	 433.44 	 514.71 	 595.98 	 812.70 
107	ARTEROLANE-150 + PIPERAQUINE-750 TABLET - 900MG(SYNRIAM)	Tab/900mg	 2,646.00 	 3,024.00 	 3,591.00 	 4,158.00 	 5,670.00 
108	ARTESUNATE INJECTION IV.IM - (60MG)	Per Vial	 1,675.80 	 1,915.20 	 2,274.30 	 2,633.40 	 3,591.00 
109	ARTHESUNATE + AMODIAQUINE TABLET  	TAB/1	 367.50 	 420.00 	 498.75 	 577.50 	 787.50 
110	ARTIFICIAL TEARS EYE DROP 	BTL/10ml	 2,940.00 	 3,360.00 	 3,990.00 	 4,620.00 	 6,300.00 
111	ATENOLOL + CHLORPALITON TABLET - (TERNORETIC)	 Tab/1	 223.44 	 255.36 	 303.24 	 351.12 	 478.80 
112	ATENOLOL TABLET - 100MG	Tab/100mg	 94.08 	 107.52 	 127.68 	 147.84 	 201.60 
113	ATENOLOL TABLET - 100MG(TERNOMIN)	Tab/100mg	 161.70 	 184.80 	 219.45 	 254.10 	 346.50 
114	ATENOLOL TABLET - 50MG	Tab/50mg	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
115	ATENOLOL-50+ CHLORTHALIDONE-12.5 TABLET -62.5MG(TENORIC)	Tab/125mg	 235.20 	 268.80 	 319.20 	 369.60 	 504.00 
116	ATENOLOL-50+ CHLORTHALIDONE-25 TABLET - 75MG(TERNORETIC)	Tab/150mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
117	ATORVASTATIN TABLET - 10MG	Tab/10mg	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
118	ATORVASTATIN TABLET - 20MG 	Tab/200mg	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
119	ATORVASTATIN TABLET - 20MG (LIPITOR)	Tab/200mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
120	ATROPINE EYE DROP	Tue/10ml	 999.60 	 1,142.40 	 1,356.60 	 1,570.80 	 2,142.00 
121	ATROPINE INJECTION - 1ML	Amp/1ml	 382.20 	 436.80 	 518.70 	 600.60 	 819.00 
122	AVELON TABLET - 400MG(MOXIFLOXACIN)	Per Tab	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
123	AZATHIOPRINE CAPSULE	Per Cap	 167.58 	 191.52 	 227.43 	 263.34 	 359.10 
124	AZITHROMYCIN SYRUP - 200MG/5ML	Blt/15ml	 3,234.00 	 3,696.00 	 4,389.00 	 5,082.00 	 6,930.00 
125	AZITHROMYCIN SYRUP - 200MG/5ML(ZITHROMAX)	Blt/15ml	 5,880.00 	 6,720.00 	 7,980.00 	 9,240.00 	 12,600.00 
126	AZITHROMYCIN TABLET - 250MG 	Tab/250mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
127	AZITHROMYCIN TABLET - 250MG (ZITHROMAX)	Tab/250mg	 2,058.00 	 2,352.00 	 2,793.00 	 3,234.00 	 4,410.00 
128	AZOPT EYE DROP	Pkt/1	 7,200.00 	 8,000.00 	 8,800.00 	 10,800.00 	 11,200.00 
129	BCG VACCINE	Dose/I	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
130	BENDROFLUTHIAZIDE 5MG	Tab/5Mg	 44.10 	 50.40 	 59.85 	 69.30 	 94.50 
131	BENZHEXOL TABLET - 5MG (ARTANE)	Tab/5mg	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
132	BENZYL BENZOATE LOTION - 100ML	Blt/100ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
133	BENZYL PENICILLIN INJECTION - 2ML (CRYSTALINE PENICILLIN)	Vial/2ml	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
134	BENZYL PEROXIDE LOTION	Per Blt	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
135	BETAMETHASONE   CREAM - (BETNOVATE)	Tube/20mg	 2,058.00 	 2,352.00 	 2,793.00 	 3,234.00 	 4,410.00 
136	BETAMETHASONE + CLIOQUINOL CRM-20G(BETNOVATE  C)	Tube/20mg	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
137	BETAMETHASONE + NEOMYCIN CREAM - 20G (BETNOVATE N)	Tube/20g	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
138	BETAMETHASONE + NEOMYCIN EYE  DROP - BEOPTIC-N	Tube/10ml	 2,640.00 	 3,360.00 	 3,600.00 	 4,800.00 	 6,000.00 
139	BETAMETHASONE + NEOMYCIN EYE OINT - 5G (BEOPTIC N)	Tube/5mg	 2,640.00 	 3,360.00 	 3,600.00 	 4,800.00 	 6,000.00 
140	BETAMETHASONE + NEOMYCIN EYE/EAR DROP - (BETNESOL-N)	Tube/10ml	 2,640.00 	 3,360.00 	 3,600.00 	 4,800.00 	 6,000.00 
141	BETAMETHASONE + SALICYLIC ACID CREAM - 30G(DIPROSALIC)	Tube/30g	 2,352.00 	 2,688.00 	 3,192.00 	 3,696.00 	 5,040.00 
142	BETAMETHASONE+GENT+IODO-CDQ CREAM-QUADRIDERM	Tube/15g	 1,646.40 	 1,881.60 	 2,234.40 	 2,587.20 	 3,528.00 
143	BETRISIL OINTMENT	Tube/15mg	 499.80 	 571.20 	 678.30 	 785.40 	 1,071.00 
144	BICALUTAMIDE TABLET - 50MG (CASODEX)	Tab/50mg	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
145	BISACODYL SUPPOSITORY - 10MG (DULCOLAX)	Tab/100mg	 764.40 	 873.60 	 1,037.40 	 1,201.20 	 1,638.00 
146	BISACODYL TABLET - 5MG (DULCOLAX)	Tab/5mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
147	BISOPROLOL TABLET - 5MG	Tab/5mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
148	BROMAZEPAM TABLET  - 3.0MG(LEXOTAN )	Tab/3mg	 44.10 	 50.40 	 59.85 	 69.30 	 94.50 
149	BROMAZEPAM TABLET - 1.5MG(LEXOTAN )	Tab/1.5mg	 47.04 	 53.76 	 63.84 	 73.92 	 100.80 
150	BROMHEXINE HYDROCHLORIDE  SYRUP -4MG/5ML(BISOLVON)	Blt/100ml	 1,205.40 	 1,377.60 	 1,635.90 	 1,894.20 	 2,583.00 
151	BROMHEXINE HYDROCHLORIDE SYRUP - 4MG/5ML(BRONCHOLYTE)	Blt/100ml	 940.80 	 1,075.20 	 1,276.80 	 1,478.40 	 2,016.00 
152	BROMHEXINE HYDROCHLORIDE TABLET - 8MG( BISOLVON)	Tab/8mg	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
153	BROMOCRIPTINE TABLET - 2.5MG (BROMOGIN)	Tab/2.5mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
154	CAFFEIN + ERGOTAMINE  TABLET - (CAFERGOT )	Tab/1	 470.40 	 537.60 	 638.40 	 739.20 	 1,008.00 
155	CA-LACTATE GLUCONATE + CACO3 + ASCORBIC ACID TABLET - 1000MG (CAC - 1000)	Tab/1000mg	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
156	CALAMINE LOTION	Blt/100ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
157	CALCITRIOL TABLET - (MEDITRIOL)	Tab/250Mg	 470.40 	 537.60 	 638.40 	 739.20 	 1,008.00 
158	CALCIUM GLUCONATE INJECTION - 500MG (CALCIUM)	Vial/500mg	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
159	CALCIUM LACTATE TABLET - 300MG	Tab/300mg	 38.22 	 43.68 	 51.87 	 60.06 	 81.90 
160	CALCIUM LIQUID SUSPENSION - 	Per Blt	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
161	CALCIUM-600 + VITAMIN D-400 TABLET - 1000MG	Tab/1000mg	 411.60 	 470.40 	 558.60 	 646.80 	 882.00 
162	CANDERSATAN + HCTH - 16/12.2MG(ATACAND PLUS)	Tab/28.2mg	 270.48 	 309.12 	 367.08 	 425.04 	 579.60 
163	CANDERSATAN + HCTH - 28.2MG(ATACAND PLUS)	Tab/1	 188.16 	 215.04 	 255.36 	 295.68 	 403.20 
164	CANDERSATAN-16MG	Tab/16mg	 302.82 	 346.08 	 410.97 	 475.86 	 648.90 
165	CANDESARTAN - 8MG(ATACAND)	Tab/8mg	 264.60 	 302.40 	 359.10 	 415.80 	 567.00 
166	CANDIBIOTIC EAR DROP	Per Blt	 3,028.20 	 3,460.80 	 4,109.70 	 4,758.60 	 6,489.00 
167	CANNULAR - BLUE	PCS	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
168	CANNULAR - GREY	PCS	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
169	CANNULAR - PINK	PCS	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
170	CANNULAR - YELLOW	PCS	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
171	CAPTOPRIL TABLET - 12.5MG (CATOPEN)	Tab/12.5mg	 41.16 	 47.04 	 55.86 	 64.68 	 88.20 
172	CAPTOPRIL TABLET - 25MG (CATOPEN)	Tab/25mg	 67.62 	 77.28 	 91.77 	 106.26 	 144.90 
173	CAPTOPRIL TABLET - 50MG (CATOPEN)	Tab/50mg	 91.14 	 104.16 	 123.69 	 143.22 	 195.30 
174	CARBAMAZEPINE TABLET - 200MG (TEGRETOL)	Tab/200mg	 352.80 	 403.20 	 478.80 	 554.40 	 756.00 
175	CARBAMAZEPINE TABLET - 200MG (TEGRETOL-CR)	Tab/200mg	 352.80 	 403.20 	 478.80 	 554.40 	 756.00 
176	CARBERGOLIN TABLET -  0.5MG(DOSTINEX)	Tab/0.5mg	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
177	CARBETOCIN INJECTION	VIAL	 29,400.00 	 33,600.00 	 39,900.00 	 46,200.00 	 63,000.00 
178	CARBIDOPA 25MG + LEVODOPA 250MG TABLET - 275MG (CINEMET)  TAB	Tab/275mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
179	CARBIMAZOLE TABLET - 5MG (CARBIROID)	Tab/5mg	 211.68 	 241.92 	 287.28 	 332.64 	 453.60 
180	CARBOPLASTIN INJECTION -  300MG	Vial/300mg	 26,754.00 	 30,576.00 	 36,309.00 	 42,042.00 	 57,330.00 
181	CARVEDILOL TABLET - 25 MG	Tab/25mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
182	CARVEDILOL TABLET - 6.25MG	Tab/6.25mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
183	CARVEDILOL TABLET -12.5MG	Tab/12.5mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
184	CASTOR AND ZINC OINTMENT 	Tube/25mg	 2,940.00 	 3,360.00 	 3,990.00 	 4,620.00 	 6,300.00 
185	CASTOR OIL	Per Blt	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
186	CEFIXIME  ANHYDROUS SYRUP - 100mg/5ml	BLT/100ml	 3,822.00 	 4,368.00 	 5,187.00 	 6,006.00 	 8,190.00 
187	CEFIXIME + CLAVULANIC ACID TABLET	Tab	 301.06 	 344.06 	 408.58 	 473.09 	 645.12 
188	CEFIXIME ANHYDROUS SYRUP - 100MG/5ML(OCEFIX)	100MG/5ML	 1,675.80 	 1,915.20 	 2,274.30 	 2,633.40 	 3,591.00 
189	CEFIXIME TABLET - 200MG(OCEFIX)	Tab/200mg	 235.20 	 268.80 	 319.20 	 369.60 	 504.00 
190	CEFOTAXIME INJECTION -  1000MG	Per Vial	 2,704.80 	 3,091.20 	 3,670.80 	 4,250.40 	 5,796.00 
191	CEFPODOXIME SYR - 40Mg/5ml	BLT/100ml	 5,292.00 	 6,048.00 	 7,182.00 	 8,316.00 	 11,340.00 
