Leadway Provider Network		
Proceedure Code	Proceedure Name	Amount
20202006	INCUBATOR	₦10,000.00
20202006	INCUBATOR	₦10,000.00
20204001	ADULT INTENSIVE CARE UNIT DAY	₦40,000.00
20204001	ADULT INTENSIVE CARE UNIT DAY	₦40,000.00
20204002	PAEDIATRIC INTENSIVE CARE	₦25,000.00
20204002	PAEDIATRIC INTENSIVE CARE	₦25,000.00
20204003	NEONATAL INTENSIVE CARE	₦25,000.00
20204003	NEONATAL INTENSIVE CARE	₦25,000.00
20204003	NEONATAL INTENSIVE CARE	₦25,000.00
20204004	HIGH DEPENDENCY UNIT DAY	₦25,000.00
20204005	USE OF VENTILATOR DAY	₦25,000.00
20204006	C PAP DAY	₦20,000.00
20204006	C PAP DAY	₦20,000.00
20204007	INTENSIVE CARE NURSING	₦5,000.00
20204007	INTENSIVE CARE NURSING	₦5,000.00
20204007	INTENSIVE CARE NURSING	₦5,000.00
20204007	INTENSIVE CARE NURSING	₦5,000.00
20206001	ANAESTHESIA LOCAL MINOR	₦8,000.00
20206001	ANAESTHESIA LOCAL MINOR	₦8,000.00
20206001	ANAESTHESIA LOCAL MINOR	₦8,000.00
20206002	ANAESTHESIA INTERMEDIATE	₦30,000.00
20206002	ANAESTHESIA INTERMEDIATE	₦30,000.00
20206003	ANAESTHESIA MAJOR	₦50,000.00
20206004	ANAESTHESIA SPINAL EPIDURAL	₦65,000.00
20206004	ANAESTHESIA SPINAL EPIDURAL	₦65,000.00
20206004	ANAESTHESIA SPINAL EPIDURAL	₦65,000.00
20208000	THEATRE MINOR	₦10,000.00
20208002	THEATRE MAJOR	₦30,000.00
20208004	THEATRE INTERMEDIATE	₦20,000.00
20208004	THEATRE INTERMEDIATE	₦20,000.00
20208004	THEATRE INTERMEDIATE	₦20,000.00
21210001	ANTRAL WASHOUT	₦23,000.00
21210001	ANTRAL WASHOUT	₦23,000.00
21210002	ENDOSCOPIC LARYNGOSCOPY	₦12,960.00
21210004	FOREIGN BODY REMOVAL  EAR  UNDER GA	₦11,500.00
21210004	FOREIGN BODY REMOVAL  EAR  UNDER GA	₦11,500.00
21210005	FOREIGN BODY REMOVAL  NOSE  UNDER GA	₦30,000.00
21210005	FOREIGN BODY REMOVAL  NOSE  UNDER GA	₦30,000.00
21210006	FOREIGN BODY REMOVAL  THROAT	₦19,440.00
21210006	FOREIGN BODY REMOVAL  THROAT	₦19,440.00
21210007	FOREIGN BODY REMOVAL  TRACHEA AND BELOW	₦30,000.00
21210007	FOREIGN BODY REMOVAL  TRACHEA AND BELOW	₦30,000.00
21210009	PAROTIDECTOMY	₦207,000.00
21210009	PAROTIDECTOMY	₦207,000.00
21210010	TRACHEOSCOPY	₦43,200.00
21210010	TRACHEOSCOPY	₦43,200.00
21210011	TYMPANOTOMY	₦13,800.00
21210011	TYMPANOTOMY	₦13,800.00
21210012	BIOPSY LARYNGEAL	₦51,840.00
21210012	BIOPSY LARYNGEAL	₦51,840.00
21210013	DIRECT LARYNGOSCOPY AND BIOPSY	₦63,250.00
21210013	DIRECT LARYNGOSCOPY AND BIOPSY	₦63,250.00
21210013	DIRECT LARYNGOSCOPY AND BIOPSY	₦63,250.00
21210014	EUA OF NASOPHARYNX AND BIOPSY	₦64,800.00
21210014	EUA OF NASOPHARYNX AND BIOPSY	₦64,800.00
21210015	EUA OF THE UPPER AERODIGESTIVE TRACT AND BIOPSY	₦64,800.00
21210015	EUA OF THE UPPER AERODIGESTIVE TRACT AND BIOPSY	₦64,800.00
21210016	EUA OF THE UPPER OESOPHAGOSCOPY AND FOREIGN BODY REMOVAL	₦64,800.00
21210017	FLEXIBLE NASOPHARYNGOLARYGOSCOPY	₦25,920.00
21210018	INTRANASAL POLYPECTOMY	₦69,000.00
21210018	INTRANASAL POLYPECTOMY	₦69,000.00
21210019	MASTOIDECTOMY	₦161,000.00
21210019	MASTOIDECTOMY	₦161,000.00
21210021	RIGID OESOPHAGOSCOPY AND FOREIGN BODY REMOVAL	₦64,800.00
21210023	TRACHEOSTOMY	₦80,500.00
21210023	TRACHEOSTOMY	₦80,500.00
21210024	ADENOIDECTOMY	₦80,500.00
21210024	ADENOIDECTOMY	₦80,500.00
21210025B	ADENOTONSILLECTOMY GLOBAL FEE	₦400,000.00
21210025B	ADENOTONSILLECTOMY GLOBAL FEE	₦400,000.00
21210025B	ADENOTONSILLECTOMY GLOBAL FEE	₦400,000.00
21210026	DIAGNOSTIC NASENDOSCOPY	₦36,000.00
21210027	ENDOSCOPIC LARYNGEAL SURGERY	₦103,680.00
21210027	ENDOSCOPIC LARYNGEAL SURGERY	₦103,680.00
21210028	ENDOSCOPIC NASOPHARYNGEAL SURGERY	₦64,800.00
21210028	ENDOSCOPIC NASOPHARYNGEAL SURGERY	₦64,800.00
21210029	EXCISION OF PAROTID TUMOR	₦129,600.00
21210029	EXCISION OF PAROTID TUMOR	₦129,600.00
21210030	EXCISION OF SUBMANDIBULAR GLAND	₦109,250.00
21210030	EXCISION OF SUBMANDIBULAR GLAND	₦109,250.00
21210032	FUNCTIONAL ENDOSCOPIC SINUS SURGERY ALL INCLUSIVE	₦207,000.00
21210032	FUNCTIONAL ENDOSCOPIC SINUS SURGERY ALL INCLUSIVE	₦207,000.00
21210034	TONSILLECTOMY	₦80,500.00
21210034	TONSILLECTOMY	₦80,500.00
22220001	BIOPSY   TESTICULAR	₦45,360.00
22220001	BIOPSY   TESTICULAR	₦45,360.00
22220002	BOUGINAGE	₦18,144.00
22220002	BOUGINAGE	₦18,144.00
22220003	CATHETERIZATION  plus catheter   SUPRAPUBIC  BLOCK FEE	₦23,000.00
22220003	CATHETERIZATION  plus catheter   SUPRAPUBIC  BLOCK FEE	₦23,000.00
22220003	CATHETERIZATION  plus catheter   SUPRAPUBIC  BLOCK FEE	₦23,000.00
22220003B	CATHETERIZATION   SUPRAPUBIC	₦20,000.00
22220003B	CATHETERIZATION   SUPRAPUBIC	₦20,000.00
22220003B	CATHETERIZATION   SUPRAPUBIC	₦20,000.00
22220003B	CATHETERIZATION   SUPRAPUBIC	₦20,000.00
22220003B	CATHETERIZATION   SUPRAPUBIC	₦20,000.00
22220003B	CATHETERIZATION   SUPRAPUBIC	₦20,000.00
22220004	ORCHIDOPEXY LOW	₦80,000.00
22220004	ORCHIDOPEXY LOW	₦80,000.00
22220005	VASECTOMY	₦30,000.00
22220005	VASECTOMY	₦30,000.00
22220006	BILATERAL ORCHIDECTOMY	₦84,000.00
22220006	BILATERAL ORCHIDECTOMY	₦84,000.00
22220006	BILATERAL ORCHIDECTOMY	₦84,000.00
22220007	BIOPSY   PROSTATE	₦69,000.00
22220007	BIOPSY   PROSTATE	₦69,000.00
22220008	CYSTOURETHROSCOPY	₦69,000.00
22220008	CYSTOURETHROSCOPY	₦69,000.00
22220009	EXCISION   INTRASCROTAL MASS	₦41,400.00
22220009	EXCISION   INTRASCROTAL MASS	₦41,400.00
22220010	MEATOPLASTY	₦45,360.00
22220010	MEATOPLASTY	₦45,360.00
22220011	ORCHIDOPEXY HIGH	₦172,800.00
22220011	ORCHIDOPEXY HIGH	₦172,800.00
22220011	ORCHIDOPEXY HIGH	₦172,800.00
22220012	SCROTAL EXPLORATION	₦84,000.00
22220012	SCROTAL EXPLORATION	₦84,000.00
22220013	TRANS PERINEAL BIOPSY OF PROSTATE	₦69,000.00
22220013	TRANS PERINEAL BIOPSY OF PROSTATE	₦69,000.00
22220014	TRANS RECTAL BIOPSY OF PROSTATE	₦69,000.00
22220014	TRANS RECTAL BIOPSY OF PROSTATE	₦69,000.00
22220015	VARICOCELECTOMY	₦112,000.00
22220015	VARICOCELECTOMY	₦112,000.00
22220016	ADRENALECTOMY	₦302,500.00
22220016	ADRENALECTOMY	₦302,500.00
22220017	CAVERNOUS SPONGIOSUM SURGERY	₦136,080.00
22220017	CAVERNOUS SPONGIOSUM SURGERY	₦136,080.00
22220018	CYSTECTOMY   PARTIAL	₦181,440.00
22220018	CYSTECTOMY   PARTIAL	₦181,440.00
22220019	CYSTECTOMY  RADICAL	₦324,000.00
22220019	CYSTECTOMY  RADICAL	₦324,000.00
22220020	CYSTOLITHOLAPAXY	₦317,520.00
22220020	CYSTOLITHOLAPAXY	₦317,520.00
22220021	CYSTOLITHOTOMY	₦136,080.00
22220021	CYSTOLITHOTOMY	₦136,080.00
22220022	DEBRIDMENT OF FOURNIER GANGRENE	₦194,400.00
22220022	DEBRIDMENT OF FOURNIER GANGRENE	₦194,400.00
22220023	DRAINAGE OF PERINEPHRIC ABSCESS	₦200,000.00
22220023	DRAINAGE OF PERINEPHRIC ABSCESS	₦200,000.00
22220024	ENDOSCOPY   URETHROPLASTY	₦460,000.00
22220025	INTERNAL URETERIC STENT	₦224,000.00
22220025	INTERNAL URETERIC STENT	₦224,000.00
22220026	NEPHRECTOMY SIMPLE	₦402,500.00
22220026	NEPHRECTOMY SIMPLE	₦402,500.00
22220027	NEPHROLITHOTOMY	₦96,600.00
22220027	NEPHROLITHOTOMY	₦96,600.00
22220028	PELVIC LYMPHATECTOMY	₦280,000.00
22220028	PELVIC LYMPHATECTOMY	₦280,000.00
22220029	RELEASE OF CHORDEE	₦280,000.00
22220029	RELEASE OF CHORDEE	₦280,000.00
22220030	RENAL CYSTECTOMY	₦150,000.00
22220030	RENAL CYSTECTOMY	₦150,000.00
22220031	SURGERY   SEMINAL VESICLE ANSATOMOSIS	₦308,000.00
22220031	SURGERY   SEMINAL VESICLE ANSATOMOSIS	₦308,000.00
22220032	TRANSURETHRAL RESECTION OF POSTERIOR URETHRAL VALVE	₦200,000.00
22220032	TRANSURETHRAL RESECTION OF POSTERIOR URETHRAL VALVE	₦200,000.00
22220033	URETERAL REINPLANTATION INTO THE BLADDER	₦150,000.00
22220033	URETERAL REINPLANTATION INTO THE BLADDER	₦150,000.00
22220034	URETERECTOMY	₦196,000.00
22220034	URETERECTOMY	₦196,000.00
22220035	URETERIC CATHETER IMPLANTATION	₦140,000.00
22220035	URETERIC CATHETER IMPLANTATION	₦140,000.00
22220036	VASOPLASTY	₦168,000.00
22220036	VASOPLASTY	₦168,000.00
22220037	VESICAL DIVERTICULECTOMY	₦150,000.00
22220037	VESICAL DIVERTICULECTOMY	₦150,000.00
22220053A	EXCISION LYMPHOEDEMATUS LYMPH TISSUE	₦33,600.00
22220053A	EXCISION LYMPHOEDEMATUS LYMPH TISSUE	₦33,600.00
23230003	REDUCTION CR OF SHOULDER DISLOCATION WITH SLING	₦35,200.00
23230003	REDUCTION CR OF SHOULDER DISLOCATION WITH SLING	₦35,200.00
23230003	REDUCTION CR OF SHOULDER DISLOCATION WITH SLING	₦35,200.00
23230003	REDUCTION CR OF SHOULDER DISLOCATION WITH SLING	₦35,200.00
23230004	CLOSED REDUCTION AND CAST FOR FOOT	₦44,280.00
23230004	CLOSED REDUCTION AND CAST FOR FOOT	₦44,280.00
23230005	CLOSED REDUCTION AND CAST FOR RADIUS AND ULNA	₦110,000.00
23230006	CLOSED REDUCTION AND CAST OF THE HAND	₦44,000.00
23230006	CLOSED REDUCTION AND CAST OF THE HAND	₦44,000.00
23230007	CLOSED REDUCTION OF PROXIMAL HUMERAL FRACTURE   CAST	₦44,000.00
23230007	CLOSED REDUCTION OF PROXIMAL HUMERAL FRACTURE   CAST	₦44,000.00
23230008	REMOVAL OF EXTERNAL FIXATORS  NO ANAESTHESIA	₦27,500.00
23230008	REMOVAL OF EXTERNAL FIXATORS  NO ANAESTHESIA	₦27,500.00
23230010	CLOSED OF KNEE DISLOCATION AND CAST	₦47,800.00
23230010	CLOSED OF KNEE DISLOCATION AND CAST	₦47,800.00
23230011	CLOSED REDUCTION AND CANNULATED SCREWS FOR HUMERUS	₦158,400.00
23230011	CLOSED REDUCTION AND CANNULATED SCREWS FOR HUMERUS	₦158,400.00
23230012	CLOSED REDUCTION AND CANNULATED SCREWS FOR THE HAND	₦158,400.00
23230012	CLOSED REDUCTION AND CANNULATED SCREWS FOR THE HAND	₦158,400.00
23230013	CLOSED REDUCTION AND K WIRE FIXATION OF THE RADIUS AND ULNA	₦44,000.00
23230013	CLOSED REDUCTION AND K WIRE FIXATION OF THE RADIUS AND ULNA	₦44,000.00
23230014	CLOSED REDUCTION AND K WIRES UNDER OF THE HAND	₦132,000.00
23230014	CLOSED REDUCTION AND K WIRES UNDER OF THE HAND	₦132,000.00
23230015	CLOSED REDUCTION OF HIP DISLOCATION	₦52,800.00
23230015	CLOSED REDUCTION OF HIP DISLOCATION	₦52,800.00
23230016	CLOSED REDUCTION OF PROXIMAL HUMERAL FRACTURE   K WIRES	₦132,000.00
23230016	CLOSED REDUCTION OF PROXIMAL HUMERAL FRACTURE   K WIRES	₦132,000.00
23230017	CLUB FOOT  PERCUT ACHILLES TENOTOMY	₦65,760.00
23230017	CLUB FOOT  PERCUT ACHILLES TENOTOMY	₦65,760.00
23230018	FINGER AMPUTATION	₦32,000.00
23230018	FINGER AMPUTATION	₦32,000.00
23230019	HEMIARTHROPLASTY  AUSTIN MOORE  FOR FEMORAL HIP FRACTURE	₦364,600.00
23230019	HEMIARTHROPLASTY  AUSTIN MOORE  FOR FEMORAL HIP FRACTURE	₦364,600.00
23230020	MIDFOOT OSTEOTOMY AND FUSION	₦108,000.00
23230020	MIDFOOT OSTEOTOMY AND FUSION	₦108,000.00
23230021	RELEASE OF DUPUYTREN CONTRACTURE	₦50,000.00
23230021	RELEASE OF DUPUYTREN CONTRACTURE	₦50,000.00
23230022	REMOVAL OF INTERLOCKED NAIL FOR THE TIBIA	₦118,200.00
23230022	REMOVAL OF INTERLOCKED NAIL FOR THE TIBIA	₦118,200.00
23230023	REMOVAL OF PLATE AND SCREWS FOR HUMERUS	₦132,000.00
23230023	REMOVAL OF PLATE AND SCREWS FOR HUMERUS	₦132,000.00
23230024	REMOVAL OF PLATE AND SCREWS FOR RADIUS AND ULNA	₦132,000.00
23230024	REMOVAL OF PLATE AND SCREWS FOR RADIUS AND ULNA	₦132,000.00
23230025	REMOVAL OF PLATE AND SCREWS FOR TIBIA	₦118,200.00
23230025	REMOVAL OF PLATE AND SCREWS FOR TIBIA	₦118,200.00
23230026	SEQUESTRECTOMY	₦80,500.00
23230026	SEQUESTRECTOMY	₦80,500.00
23230027	STRETCHING AND CASTING	₦59,600.00
23230027	STRETCHING AND CASTING	₦59,600.00
23230027	STRETCHING AND CASTING	₦59,600.00
23230028	SUBPERIOSTEAL DRAINAGE OF ACUTE OSTEOMYELITIS	₦35,000.00
23230028	SUBPERIOSTEAL DRAINAGE OF ACUTE OSTEOMYELITIS	₦35,000.00
23230029	TENDON REPAIR  TENORRHAPHY	₦66,000.00
23230029	TENDON REPAIR  TENORRHAPHY	₦66,000.00
23230030	TOE   FOOT JOINT RELOCATION WITH CAST	₦99,720.00
23230030	TOE   FOOT JOINT RELOCATION WITH CAST	₦99,720.00
23230031	TOE   FOOT JOINT RELOCATION WITH K WIRES	₦130,520.00
23230031	TOE   FOOT JOINT RELOCATION WITH K WIRES	₦130,520.00
23230032	TRIGGER FINGER RELEASE	₦59,600.00
23230032	TRIGGER FINGER RELEASE	₦59,600.00
23230033	TRIGGER THUMB RELEASE	₦59,600.00
23230033	TRIGGER THUMB RELEASE	₦59,600.00
23230034	ULNAR TUNNEL DECOMPRESSION	₦90,400.00
23230034	ULNAR TUNNEL DECOMPRESSION	₦90,400.00
23230039	CARPAL TUNNEL DECOMPRESSION	₦71,920.00
23230039	CARPAL TUNNEL DECOMPRESSION	₦71,920.00
23230039	CARPAL TUNNEL DECOMPRESSION	₦71,920.00
23230043	ABOVE ELBOW AMPUTATION	₦144,000.00
23230043	ABOVE ELBOW AMPUTATION	₦144,000.00
23230044	ABOVE KNEE AMPUTATION	₦171,000.00
23230044	ABOVE KNEE AMPUTATION	₦171,000.00
23230045	ANKLE FUSION  ARTHRODESIS	₦100,000.00
23230045	ANKLE FUSION  ARTHRODESIS	₦100,000.00
23230046	BELOW ELBOW AMPUTATION	₦144,000.00
23230046	BELOW ELBOW AMPUTATION	₦144,000.00
23230047	BELOW KNEE AMPUTATION	₦120,000.00
23230047	BELOW KNEE AMPUTATION	₦120,000.00
23230048	BONE GRAFTING	₦80,000.00
23230048	BONE GRAFTING	₦80,000.00
23230049	CLOSED REDUCTION AND CANNULATED SCREWS FOR THE FOOT	₦179,800.00
23230049	CLOSED REDUCTION AND CANNULATED SCREWS FOR THE FOOT	₦179,800.00
23230050	CLOSED REDUCTION AND INTERLOCKED NAILING	₦215,000.00
23230050	CLOSED REDUCTION AND INTERLOCKED NAILING	₦215,000.00
23230051	CLOSED REDUCTION AND K WIRE FIXATION OF THE TIBIA AND FIBULA	₦142,840.00
23230051	CLOSED REDUCTION AND K WIRE FIXATION OF THE TIBIA AND FIBULA	₦142,840.00
23230052	CORE FEMORAL HEAD DECOMPRESSION	₦226,000.00
23230052	CORE FEMORAL HEAD DECOMPRESSION	₦226,000.00
23230053	CORRECTIVE OSTEOTOMY LOWER LIMB	₦174,000.00
23230053	CORRECTIVE OSTEOTOMY LOWER LIMB	₦174,000.00
23230053	CORRECTIVE OSTEOTOMY LOWER LIMB	₦174,000.00
23230054	CORRECTIVE OSTEOTOMY UPPER LIMB	₦174,000.00
23230054	CORRECTIVE OSTEOTOMY UPPER LIMB	₦174,000.00
23230055	DYNAMISATION OF INTERLOCKED NAIL FOR THE FEMUR	₦132,000.00
23230055	DYNAMISATION OF INTERLOCKED NAIL FOR THE FEMUR	₦132,000.00
23230056	DYNAMISATION OF INTERLOCKED NAIL FOR TIBIA AND FIBULA	₦87,400.00
23230056	DYNAMISATION OF INTERLOCKED NAIL FOR TIBIA AND FIBULA	₦87,400.00
23230057	EXTERNAL FIXATION FOR FEMORAL FRACTURES	₦200,000.00
23230057	EXTERNAL FIXATION FOR FEMORAL FRACTURES	₦200,000.00
23230058	EXTERNAL FIXATION FOR FOOT FRACTURES	₦131,600.00
23230058	EXTERNAL FIXATION FOR FOOT FRACTURES	₦131,600.00
23230059	EXTERNAL FIXATION FOR HAND FRACTURES	₦176,000.00
23230059	EXTERNAL FIXATION FOR HAND FRACTURES	₦176,000.00
23230060	EXTERNAL FIXATION FOR HUMERUS FRACTURE	₦176,000.00
23230060	EXTERNAL FIXATION FOR HUMERUS FRACTURE	₦176,000.00
23230061	EXTERNAL FIXATION FOR RADIUS AND ULNA FRACTURE	₦160,000.00
23230061	EXTERNAL FIXATION FOR RADIUS AND ULNA FRACTURE	₦160,000.00
23230062	EXTERNAL FIXATION OF TIBIAL FRACTURE	₦168,000.00
23230062	EXTERNAL FIXATION OF TIBIAL FRACTURE	₦168,000.00
23230063	EXTERNAL FIXATION  ANKLE  SPANNING	₦168,000.00
23230063	EXTERNAL FIXATION  ANKLE  SPANNING	₦168,000.00
23230064	HIP ARTHROTOMY	₦149,000.00
23230064	HIP ARTHROTOMY	₦149,000.00
23230066	IN SITU PINNING OF SLIPPED UFE	₦213,600.00
23230066	IN SITU PINNING OF SLIPPED UFE	₦213,600.00
23230067	KNEE ARTHROTOMY	₦121,200.00
23230067	KNEE ARTHROTOMY	₦121,200.00
23230067	KNEE ARTHROTOMY	₦121,200.00
23230067	KNEE ARTHROTOMY	₦121,200.00
23230068	OLECRANON TENSION BAND WIRING	₦176,000.00
23230068	OLECRANON TENSION BAND WIRING	₦176,000.00
23230069	OPEN REDUCTION AND PLATE AND SCREW FIXATION FOR THE FOOT	₦182,880.00
23230069	OPEN REDUCTION AND PLATE AND SCREW FIXATION FOR THE FOOT	₦182,880.00
23230070	PATELLAR TENSION BAND WIRING	₦171,000.00
23230070	PATELLAR TENSION BAND WIRING	₦171,000.00
23230071	REMOVAL OF INTERLOCKED NAIL FOR THE FEMUR	₦110,250.00
23230071	REMOVAL OF INTERLOCKED NAIL FOR THE FEMUR	₦110,250.00
23230072	REMOVAL OF PLATE AND SCREWS FOR FEMUR	₦120,000.00
23230072	REMOVAL OF PLATE AND SCREWS FOR FEMUR	₦120,000.00
23230073	SYNDACTYLY SEPARATION	₦152,000.00
23230073	SYNDACTYLY SEPARATION	₦152,000.00
23230074	TENDON TRANSFERS AND LENGTHENING	₦179,200.00
23230074	TENDON TRANSFERS AND LENGTHENING	₦179,200.00
23230075	THROUGH FOOT AMPUTATION	₦159,600.00
23230075	THROUGH FOOT AMPUTATION	₦159,600.00
23230076	TRIPLE FUSION  ARTHRODESIS	₦141,000.00
23230076	TRIPLE FUSION  ARTHRODESIS	₦141,000.00
25250001	ABDOMINAL RECTOPEXY	₦200,000.00
25250001	ABDOMINAL RECTOPEXY	₦200,000.00
25250002	ABDOMINO PERINEAL RESECTION	₦230,000.00
25250002	ABDOMINO PERINEAL RESECTION	₦230,000.00
25250003	ANAL PULL THROUGH   BLOCK FEE	₦250,000.00
25250003	ANAL PULL THROUGH   BLOCK FEE	₦250,000.00
25250004	APPENDECTOMY   DIFFICULT RUPTURED   GLOBAL FEE	₦400,000.00
25250004	APPENDECTOMY   DIFFICULT RUPTURED   GLOBAL FEE	₦400,000.00
25250004	APPENDECTOMY   DIFFICULT RUPTURED   GLOBAL FEE	₦400,000.00
25250005	BIOPSY   RETROPERITONEAL TUMOUR   BLOCK FEE	₦180,000.00
25250005	BIOPSY   RETROPERITONEAL TUMOUR   BLOCK FEE	₦180,000.00
25250006	CHOLECYSTECTOMY  OPEN    GLOBAL FEE	₦500,000.00
25250006	CHOLECYSTECTOMY  OPEN    GLOBAL FEE	₦500,000.00
25250007	CHOLEDOCHOJEJUNOSTOMY	₦230,000.00
25250007	CHOLEDOCHOJEJUNOSTOMY	₦230,000.00
25250008	CHOLEDOCHOSTOMY	₦190,000.00
25250008	CHOLEDOCHOSTOMY	₦190,000.00
25250009	COLECTOMY PARTIAL	₦144,000.00
25250009	COLECTOMY PARTIAL	₦144,000.00
25250010	COLECTOMY TOTAL	₦192,000.00
25250010	COLECTOMY TOTAL	₦192,000.00
25250011	COLORECTAL SURGERY	₦192,000.00
25250011	COLORECTAL SURGERY	₦192,000.00
25250012	COLOSTOMY   BLOCK FEE	₦200,000.00
25250012	COLOSTOMY   BLOCK FEE	₦200,000.00
25250013	DUODENOJEJUNOSTOMY	₦192,000.00
25250013	DUODENOJEJUNOSTOMY	₦192,000.00
25250014	ENTEROSTOMY	₦144,000.00
